Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""Pilar 1/Login/UAT/Staff-CBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.129,,,22-07-2026 10:57:58,22-07-2026 10:58:31,32.872s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_Dashboard/div_b2-l1-16_3-b3-SubMenuHeader""))",Chrome 150.0.7871.129,,,22-07-2026 10:58:31,22-07-2026 10:58:38,7.157s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_Dashboard/div_b2-l1-16_3-b4-l1-23_4-b1-SubMenuHeader""))",Chrome 150.0.7871.129,,,22-07-2026 10:58:38,22-07-2026 10:58:39,0.542s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_Dashboard/a_Dokumen Golive""))",Chrome 150.0.7871.129,,,22-07-2026 10:58:39,22-07-2026 10:58:39,0.302s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/input_b3-b2-b1-Input_StartDate""), ""22-07-2026"")",Chrome 150.0.7871.129,,,22-07-2026 10:58:39,22-07-2026 10:58:49,9.773s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/input_b3-b2-b1-Input_StartDate2""), ""22-07-2026"")",Chrome 150.0.7871.129,,,22-07-2026 10:58:49,22-07-2026 10:58:49,0.589s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/select_b3-b2-b1-Dropdown1""), ""2"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:58:49,22-07-2026 10:58:50,0.547s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/select_b3-b2-b1-Dropdown3""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:58:50,22-07-2026 10:58:50,0.537s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/button_Cari""))",Chrome 150.0.7871.129,,,22-07-2026 10:58:50,22-07-2026 10:58:51,0.303s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/action""))",Chrome 150.0.7871.129,,,22-07-2026 10:58:51,22-07-2026 10:58:51,0.764s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/div_Pemeriksaan""))",Chrome 150.0.7871.129,,,22-07-2026 10:58:51,22-07-2026 10:58:52,0.526s,PASSED
delay(5),Chrome 150.0.7871.129,,,22-07-2026 10:58:52,22-07-2026 10:58:57,5.016s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/i_icon accordion-dokumen-keuangan""))",Chrome 150.0.7871.129,,,22-07-2026 10:58:57,22-07-2026 10:58:57,0.305s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-177_0-b11-b1-l2-314_0-b1-l4_0-315_0""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:58:57,22-07-2026 10:58:58,0.743s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-177_0-b11-b1-l2-314_0-b1-l4_0-315_0_1""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:58:58,22-07-2026 10:58:59,0.544s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/tambahan-text-area/Page_DokumenChecking/textarea_1""), ""testing"")",Chrome 150.0.7871.129,,,22-07-2026 10:58:59,22-07-2026 10:58:59,0.678s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-177_0-b11-b1-l2-314_0-b1-l4_0-315_1""), ""1"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:58:59,22-07-2026 10:59:00,0.786s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-177_0-b11-b1-l2-314_0-b1-l4_0-315_1_1""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:59:00,22-07-2026 10:59:01,0.818s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/textarea_b3-l2-177_0-b11-b1-l2-314_0-b1-l4_0-315""), ""testing"")",Chrome 150.0.7871.129,,,22-07-2026 10:59:01,22-07-2026 10:59:01,0.611s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/button_Unggah""))",Chrome 150.0.7871.129,,,22-07-2026 10:59:01,22-07-2026 10:59:02,0.563s,PASSED
delay(5),Chrome 150.0.7871.129,,,22-07-2026 10:59:02,22-07-2026 10:59:07,5.007s,PASSED
"uploadFile(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/div_b3-l2-177_0-b11-b1-l2-314_0-b1-b4-dropzone""), Lorem)",Chrome 150.0.7871.129,,,22-07-2026 10:59:07,22-07-2026 10:59:07,0.002s,NOT_RUN
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/button_Upload""))",Chrome 150.0.7871.129,,,22-07-2026 10:59:07,22-07-2026 10:59:07,0.000s,NOT_RUN
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-177_0-b11-b1-l2-314_0-b1-l4_0-315_2""), ""1"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:59:07,22-07-2026 10:59:11,3.557s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-177_0-b11-b1-l2-314_0-b1-l4_0-315_2_1""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:59:11,22-07-2026 10:59:11,0.816s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/textarea_b3-l2-177_0-b11-b1-l2-314_0-b1-l4_0-315_1""), ""testing"")",Chrome 150.0.7871.129,,,22-07-2026 10:59:11,22-07-2026 10:59:12,0.651s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/button_Unggah_1""))",Chrome 150.0.7871.129,,,22-07-2026 10:59:12,22-07-2026 10:59:13,0.536s,PASSED
delay(5),Chrome 150.0.7871.129,,,22-07-2026 10:59:13,22-07-2026 10:59:18,5.016s,PASSED
"uploadFile(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/div_b3-l2-177_0-b11-b1-l2-314_0-b1-b4-dropzone""), Lorem)",Chrome 150.0.7871.129,,,22-07-2026 10:59:18,22-07-2026 10:59:18,0.003s,NOT_RUN
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/button_Upload""))",Chrome 150.0.7871.129,,,22-07-2026 10:59:18,22-07-2026 10:59:18,0.000s,NOT_RUN
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/i_icon accordion-icon _dokumen-legalitas""))",Chrome 150.0.7871.129,,,22-07-2026 10:59:18,22-07-2026 10:59:18,0.314s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-185_0-b11-b1-l2-325_1-b1-l4_0-327_0_1""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:59:18,22-07-2026 10:59:19,0.749s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/tambahan-text-area/Page_DokumenChecking/textarea_2""), ""testing"")",Chrome 150.0.7871.129,,,22-07-2026 10:59:19,22-07-2026 10:59:19,0.688s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-185_0-b11-b1-l2-325_1-b1-l4_0-327_0""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:59:19,22-07-2026 10:59:20,0.769s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-185_0-b11-b1-l2-325_1-b1-l4_0-327_1""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:59:20,22-07-2026 10:59:21,0.530s,PASSED
