Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Perjanjian/Page_DokumenChecking/textarea_Catatan""), ""Saya akan survey"")",Chrome 150.0.7871.129,,,22-07-2026 13:48:18,22-07-2026 13:48:19,0.596s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Perjanjian/Page_DokumenChecking/input_b3-b18-Checkbox2""))",Chrome 150.0.7871.129,,,22-07-2026 13:48:19,22-07-2026 13:48:19,0.000s,NOT_RUN
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Perjanjian/Page_DokumenChecking/button_Submit_popup_final""))",Chrome 150.0.7871.129,,,22-07-2026 13:48:19,22-07-2026 13:48:19,0.530s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Perjanjian/Page_DokumenChecking/button_Submit""))",Chrome 150.0.7871.129,,,22-07-2026 13:48:19,22-07-2026 13:48:20,0.550s,PASSED
delay(5),Chrome 150.0.7871.129,,,22-07-2026 13:48:20,22-07-2026 13:48:25,5.015s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/select_b3-b2-b1-Dropdown3""), ""2"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:48:25,22-07-2026 13:48:27,2.295s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/button_Cari""))",Chrome 150.0.7871.129,,,22-07-2026 13:48:27,22-07-2026 13:48:28,0.285s,PASSED
,,,,,,,
Test Cases/Pilar 1/Dokumen Go Live/UAT/RBU/SPV-RBU-Persetujuan-Before-Survey,Chrome 150.0.7871.129,,,22-07-2026 13:48:28,22-07-2026 13:49:24,56.478s,PASSED
"callTestCase(findTestCase(""Pilar 1/Login/UAT/SPV-RBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.129,,,22-07-2026 13:48:28,22-07-2026 13:49:02,34.258s,PASSED
