Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomDetail/input_b3-Checkbox1""))",Chrome 150.0.7871.129,,,22-07-2026 09:28:55,22-07-2026 09:28:56,1.363s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomDetail/button_Survey""))",Chrome 150.0.7871.129,,,22-07-2026 09:28:56,22-07-2026 09:28:58,2.012s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/div_FormFotoKunjungan""))",Chrome 150.0.7871.129,,,22-07-2026 09:28:58,22-07-2026 09:29:00,1.436s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/div_Ambil Foto1""))",Chrome 150.0.7871.129,,,22-07-2026 09:29:00,22-07-2026 09:29:00,0.396s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/div_kamera1""))",Chrome 150.0.7871.129,,,22-07-2026 09:29:00,22-07-2026 09:29:01,0.394s,PASSED
"switchToWindowTitle(""KunjunganShowroomQuestionAnswer"")",Chrome 150.0.7871.129,,,22-07-2026 09:29:01,22-07-2026 09:29:01,0.087s,PASSED
delay(5),Chrome 150.0.7871.129,,,22-07-2026 09:29:01,22-07-2026 09:29:06,5.013s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/input_Sesuai_1""))",Chrome 150.0.7871.129,,,22-07-2026 09:29:06,22-07-2026 09:29:08,1.834s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/div_Ambil Foto2""))",Chrome 150.0.7871.129,,,22-07-2026 09:29:08,22-07-2026 09:29:08,0.615s,PASSED
delay(7),Chrome 150.0.7871.129,,,22-07-2026 09:29:08,22-07-2026 09:29:15,7.015s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/Staff_MRBU_Submit_Task/Page_KunjunganShowroomQuestionAnswer/input_Tidak Sesuai_1""))",Chrome 150.0.7871.129,,,22-07-2026 09:29:15,22-07-2026 09:29:16,0.462s,PASSED
